,start_time,end_time,activity,real_start,real_end
12:38:58.954300,0 days 00:01:44.954300000,0 days 00:01:44.979897000,empty,0 days 12:38:58.954300000,0 days 12:38:58.979897000
12:40:44.037399,0 days 00:01:45.037399000,0 days 00:01:45.063004000,empty,0 days 12:40:44.037399000,0 days 12:40:44.063004000
12:41:42.220482,0 days 00:00:57.220482000,0 days 00:00:57.469440000,search,0 days 12:41:42.220482000,0 days 12:41:42.469440000
12:44:15.018898,0 days 00:01:45.018898000,0 days 00:01:45.044502000,empty,0 days 12:44:15.018898000,0 days 12:44:15.044502000
12:45:08.041599,0 days 00:00:52.041599000,0 days 00:00:52.196480000,search,0 days 12:45:08.041599000,0 days 12:45:08.196480000
12:45:54.705917,0 days 00:01:38.705917000,0 days 00:01:39.047684000,search,0 days 12:45:54.705917000,0 days 12:45:55.047684000
12:47:46.011200,0 days 00:01:45.011200000,0 days 00:01:45.036797000,empty,0 days 12:47:46.011200000,0 days 12:47:46.036797000
12:49:31.900497,0 days 00:01:44.900497000,0 days 00:01:44.926102000,empty,0 days 12:49:31.900497000,0 days 12:49:31.926102000
12:51:18.032303,0 days 00:01:45.032303000,0 days 00:01:45.057899000,empty,0 days 12:51:18.032303000,0 days 12:51:18.057899000
12:53:03.004799,0 days 00:01:45.004799000,0 days 00:01:45.030403000,empty,0 days 12:53:03.004799000,0 days 12:53:03.030403000
12:54:49.044502,0 days 00:01:45.044502000,0 days 00:01:45.070099000,empty,0 days 12:54:49.044502000,0 days 12:54:49.070099000
12:56:34.000999,0 days 00:01:45.000999000,0 days 00:01:45.026604000,empty,0 days 12:56:34.000999000,0 days 12:56:34.026604000
